Model,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.5294117647058824,0.7059861721653714,0.4979395796247813,0.5294117647058824,0.5106982235122749,0.22676254659941208
Decision Tree,0.6205882352941177,0.714549895715521,0.6306479030341925,0.6205882352941177,0.6215705212286788,0.4184718137991685
K-Nearest Neighbor,0.5705882352941176,0.7237999453369338,0.5502240777496532,0.5705882352941176,0.5558883965176146,0.3000152741278818
Naive Bayes,0.5,0.6816466604617534,0.5103861544617847,0.5,0.504079624484173,0.22892732428400892
Random Forest (Ensemble),0.6735294117647059,0.8301522813492668,0.6542313487085086,0.6735294117647059,0.6585337432205134,0.47073688901772587
